Consonantal Root: س م و

Occurrences
((82:1:2) l-samāu)
((84:1:2) l-samāu)
((85:1:1) wal-samāi)
((85:9:4) l-samāwāti)
((86:1:1) wal-samāi)
((86:11:1) wal-samāi)
((88:18:2) l-samāi)
((91:5:1) wal-samāi)


((19:7:12) samiyyan)
((19:65:12) samiyyan)


((53:27:8) tasmiyata)


((11:3:12) musamman)
((13:2:18) musamman)
((14:10:17) musamman)
((16:61:15) musamman)
((22:5:34) musamman)
((22:33:6) musamman)
((29:53:5) musamman)
((30:8:15) musamman)
((31:29:20) musamman)
((35:13:15) musamman)
((35:45:17) musamman)
((39:5:19) musamman)
((39:42:20) musamman)
((40:67:28) musamman)
((42:14:18) musamman)
((46:3:10) musamman)


((2:282:9) musamman)
((6:2:10) musamman)
((6:60:14) musamman)
((20:129:9) musamman)
((71:4:8) musamman)
